identifier,url,brightness,contrast
pressbook-ua-on-the-beach,https://archive.org/download/pressbook-ua-on-the-beach/page/n0_w250.jpg,156.31504949340282,54.91347596382486
pressbook-ua-something-wild,https://archive.org/download/pressbook-ua-something-wild/page/n0_w250.jpg,203.1658782097244,61.14834223216932
pressbook-ua-sparrows,https://archive.org/download/pressbook-ua-sparrows/page/n0_w250.jpg,102.69254313107245,57.26329559368244
pressbook-ua-suds,https://archive.org/download/pressbook-ua-suds/page/n0_w250.jpg,196.05277343628097,34.41734272570458
pressbook-ua-taming-of-the-shrew,https://archive.org/download/pressbook-ua-taming-of-the-shrew/page/n0_w250.jpg,207.28812312918066,42.326884834083295
pressbook-ua-teenage-millionaire,https://archive.org/download/pressbook-ua-teenage-millionaire/page/n0_w250.jpg,220.58833921550342,55.47055848622198
pressbook-ua-tess,https://archive.org/download/pressbook-ua-tess/page/n0_w250.jpg,181.8882131990224,66.8313228387616
pressbook-ua-the-circus,https://archive.org/download/pressbook-ua-the-circus/page/n0_w250.jpg,192.56959981707263,38.177386097904666
pressbook-ua-the-fearmakers,https://archive.org/download/pressbook-ua-the-fearmakers/page/n0_w250.jpg,196.80266657226227,67.02914250811632
pressbook-ua-the-fugitive-kind,https://archive.org/download/pressbook-ua-the-fugitive-kind/page/n0_w250.jpg,167.7140067026715,85.41331646921549
pressbook-ua-the-gallant-hours,https://archive.org/download/pressbook-ua-the-gallant-hours/page/n0_w250.jpg,149.9930244064362,84.58209728699181
pressbook-ua-the-gold-rush,https://archive.org/download/pressbook-ua-the-gold-rush/page/n0_w250.jpg,78.66543548359401,26.352073823848926
pressbook-ua-the-last-mile,https://archive.org/download/pressbook-ua-the-last-mile/page/n0_w250.jpg,113.60299141956648,58.68686923921547
pressbook-ua-the-manchurian-candidate,https://archive.org/download/pressbook-ua-the-manchurian-candidate/page/n0_w250.jpg,211.59737513303844,65.58466975264558
pressbook-ua-the-miracle-worker,https://archive.org/download/pressbook-ua-the-miracle-worker/page/n0_w250.jpg,194.4738627892681,73.2923064865311
pressbook-ua-the-pusher,https://archive.org/download/pressbook-ua-the-pusher/page/n0_w250.jpg,206.80399998522685,58.88807659172351
pressbook-ua-the-struggle,https://archive.org/download/pressbook-ua-the-struggle/page/n0_w250.jpg,181.81083162754842,71.69690056147118
pressbook-ua-the-thief,https://archive.org/download/pressbook-ua-the-thief/page/n0_w250.jpg,170.34403870135702,74.514013565902
pressbook-ua-the-world-of-henry-orient,https://archive.org/download/pressbook-ua-the-world-of-henry-orient/page/n0_w250.jpg,220.38441730687694,58.063429881320324
pressbook-wb-topsy-and-eva,https://archive.org/download/pressbook-wb-topsy-and-eva/page/n0_w250.jpg,165.69932190513953,83.56196653511255
