identifier,url,brightness,contrast
pressbook-wb-arsenic-and-old-lace,https://archive.org/download/pressbook-wb-arsenic-and-old-lace/page/n0_w250.jpg,126.8189968889946,38.89611036625262
pressbook-wb-as-the-earth-turns,https://archive.org/download/pressbook-wb-as-the-earth-turns/page/n0_w250.jpg,116.02905893194905,42.0952629412841
pressbook-wb-auntie-mame,https://archive.org/download/pressbook-wb-auntie-mame/page/n0_w250.jpg,203.03705073481672,62.1296370920418
pressbook-wb-babbitt,https://archive.org/download/pressbook-wb-babbitt/page/n0_w250.jpg,119.62369704181911,44.74104134026789
pressbook-wb-back-in-circulation,https://archive.org/download/pressbook-wb-back-in-circulation/page/n0_w250.jpg,135.14222503644817,66.99600984471193
pressbook-wb-back-pay,https://archive.org/download/pressbook-wb-back-pay/page/n0_w250.jpg,183.9974534692857,51.283604867278605
pressbook-wb-background-to-danger,https://archive.org/download/pressbook-wb-background-to-danger/page/n0_w250.jpg,119.89813643588597,89.04925253108587
pressbook-wb-bad-men-of-missouri,https://archive.org/download/pressbook-wb-bad-men-of-missouri/page/n0_w250.jpg,148.05987775017624,80.72615848530648
pressbook-wb-beauty-and-the-boss,https://archive.org/download/pressbook-wb-beauty-and-the-boss/page/n0_w250.jpg,166.49013407443948,50.259051470464904
pressbook-wb-bedside,https://archive.org/download/pressbook-wb-bedside/page/n0_w250.jpg,162.70434638505506,49.63630863734454
pressbook-wb-beloved-brat,https://archive.org/download/pressbook-wb-beloved-brat/page/n0_w250.jpg,152.77023104651295,70.3564223936727
pressbook-wb-between-two-worlds,https://archive.org/download/pressbook-wb-between-two-worlds/page/n0_w250.jpg,117.73936487246343,48.8756063556145
pressbook-wb-beyond-the-forest,https://archive.org/download/pressbook-wb-beyond-the-forest/page/n0_w250.jpg,186.1295514531035,67.63973093540433
pressbook-wb-big-business-girl,https://archive.org/download/pressbook-wb-big-business-girl/page/n0_w250.jpg,180.06840757834482,54.03151076249072
pressbook-wb-big-city-blues,https://archive.org/download/pressbook-wb-big-city-blues/page/n0_w250.jpg,120.9339474310891,59.48367904556983
pressbook-wb-big-hearted-herbert,https://archive.org/download/pressbook-wb-big-hearted-herbert/page/n0_w250.jpg,172.03207975319197,67.27831659597008
pressbook-wb-black-fury,https://archive.org/download/pressbook-wb-black-fury/page/n0_w250.jpg,194.78267016596553,53.29243584198969
